ord_id,ord_date,ord_tax_loc,order_tot,ord_ship_add,ord_ship_date,ord_track_num,prod_id,warehouse_id,cus_id
5920416,2018-08-08,6 ,2338.64,true,2018-08-16,PAC4170462-0    ,57,2,27
4825298,2017-03-28,16,5275,false,2017-03-30,PAC9343767-0    ,42,3,28
7009183,2010-10-14,18,4503.2,false,2010-10-15,PAC762592-3     ,41,1,29
5186311,2001-05-12,26,8073.44,false,2001-05-15,PAC6865813-2    ,15,1,30
4274782,2002-03-19,25,3572.2,false,2002-03-25,PAC5040387-3    ,36,3,31
2579402,2012-11-10,30,4158.96,false,2012-11-11,PAC268985-1     ,35,3,32
5974882,2000-07-07,4 ,3430.93,true,2000-07-10,PAC4112909-1    ,43,3,33
6080581,2003-05-22,21,5099,true,2003-06-01,PAC2181266-3    ,10,2,34
6507619,2010-02-25,7 ,4199,true,2010-03-02,PAC3561253-3    ,40,2,35
6921547,2012-02-26,23,5006.53,false,2012-03-06,PAC6665295-3    ,49,3,36
6707258,2008-07-03,4 ,5095.44,false,2008-07-03,PAC9860384-0    ,25,1,37
5068100,2005-06-30,15,8042.64,true,2005-07-06,PAC9561238-1    ,15,1,38
2523554,2002-03-05,6 ,3976.43,true,2002-03-09,PAC1109882-3    ,58,2,39
2553970,2002-05-22,30,3640,false,2002-06-01,PAC9790332-0    ,2,1,40
5892769,2009-09-06,11,4924.75,true,2009-09-15,PAC8624773-1    ,59,2,41
3904450,2015-04-12,18,4976.66,true,2015-04-22,PAC5854451-3    ,25,2,42
4160529,2007-10-08,15,3905.39,false,2007-10-18,PAC2772366-0    ,58,3,43
5140837,2003-09-29,22,3999,false,2003-10-08,PAC1111278-1    ,69,1,44
2715724,2013-09-05,13,5856.44,false,2013-09-15,PAC7064800-1    ,3,3,45
2436329,2001-02-24,22,3999,true,2001-03-01,PAC3135864-2    ,60,1,46
6808759,2012-10-23,20,8000.69,true,2012-11-02,PAC3047914-2    ,53,2,47
4066723,2019-03-28,21,4399,false,2019-03-29,PAC9045159-1    ,23,2,48
7151327,2013-11-27,28,6024.08,false,2013-11-28,PAC5150048-2    ,54,3,49
1912588,2010-12-18,22,3999,false,2010-12-18,PAC2480003-3    ,69,3,50
6033460,2001-09-16,27,5498.69,true,2001-09-25,PAC5789610-1    ,16,2,51
