sup_id,sup_name,sup_ctry
1,Giant,Taiwan
2,Ride Alpha,Andorra
3,Niner,USA
4,Enve,USA
5,e13,USA
6,RaceFace,Canada
8,Kona,USA
9,Deity,USA
10,Whyte,UK
11,Newman,Germany
13,TranzX,Taiwan
14,Rocky Mountain,Canada
15,Evil,USA
16,ProTaper,USA
17,Cannondale,Canada
18,Nukeproof,UK
19,Tenet,USA
20,Intense,USA
21,Phoenix,China
22,Ibis,USA
23,OnOff,Spain
24,GT,Canada
25,Yeti,USA
26,Specialized,Taiwan
27,Burgtec,UK
28,Fox,USA
29,DVO,Taiwan
30,RockShox,USA
31,Ohlins,Sweden
32,Marzocchi,Taiwan
33,Lefty,USA
34,FusionX,Taiwan
35,Recon,USA
36,Drop,USA
37,Bike Yoke,Germany
38,KS,USA
39,One Up,Canada
40,SDG,USA
41,Recon Elite,USA
42,Brand X,USA
43,Cube,Germany
44,Shimano,Japan
45,Sram,USA
46,Hollow,USA
47,Stans,USA
48,DT Swiss,Switzerland
49,Octane,Poland
50,Crankbrothers,USA
51,WTB,USA
52,i9,USA
53,Roval,USA
54,MDK,Canada
55,Sun Ringle,USA
56,Magura,Germany
57,TRP,Taiwan
58,Truvatic,Taiwan
59,Praxis Girder,USA
60,Hollow,USA
61,Orbea,Spain
62,Commencal,Andora
63,Santa Cruz,USA
64,Guerrila Gravity,USA
65,Revel,USA
66,Pivot,USA
67,Eminent,USA
68,Mondraker,Spain
69,Norco,Canada
70,Devinci,Canada
71,Tektro,Japan
72,NS,Germany
73,X-Fusion,Japan
74,Missing Sku,USA
